bin_id,readable,width,height,brightness,contrast,blur_var,poor_quality
00015,True,480,370,109.86195945945946,34.00479826685533,105.1126812086263,False
00016,True,466,358,141.26059774138633,37.96893416460797,8.87668389287754,True
00017,True,474,365,130.45938385064449,40.0630066375446,185.90613145372575,False
00037,True,321,294,122.24889270349884,25.110996260744155,154.63678729969706,False
00038,True,321,295,123.09103965362479,23.7799205338027,7.756494507792241,True
00049,True,497,295,113.71126419534154,27.79454095354718,148.01595290707257,False
00050,True,599,444,107.97947780835928,30.081491288113092,98.39547139069026,False
00079,True,398,273,126.7706020947227,44.28838404149104,283.1497373980725,False
00080,True,388,266,125.73807263002868,39.048201953264865,317.85934296634593,False
00081,True,397,272,110.05145206697289,36.148573257267586,248.5208814098771,False
00084,True,543,471,79.23431201198031,30.08157510765561,138.28064461472644,False
00085,True,548,476,94.88169738698399,37.53322549739175,75.00328287489288,False
00086,True,533,463,88.56029078649318,32.71061164486601,117.64416424417,False
00093,True,509,580,128.27068288056364,37.150967763066966,75.83878577430924,False
00094,True,507,578,117.3077878558315,19.270674307131074,25.417760608860284,True
00095,True,497,567,132.52729072849797,21.141551460098547,54.288044090375145,False
00098,True,490,291,115.53226032681114,38.430875672312176,173.62821497329114,False
00099,True,492,292,119.18804293351153,37.39317403173259,121.67225289741096,False
00103,True,517,306,116.37155661748903,36.512812132286314,11.469574599209311,False
00104,True,508,301,97.2028213043137,31.175386652456915,125.10010543589812,False
00115,True,617,456,136.5611191674486,33.64765013978223,89.54011496073511,False
00117,True,643,476,112.74072755074036,39.11486955734637,180.53669949839775,False
00118,True,642,476,108.78213107672975,39.08451928302983,191.93166946944993,False
00119,True,637,471,92.66600339302796,33.103784609065045,135.1767952414134,False
00127,True,332,424,124.65953199590817,28.61485197525794,148.67311225196815,False
00128,True,336,429,108.9608238983239,30.764474073189636,122.97271050515073,False
00154,True,516,307,119.24332121303942,44.26289771902974,276.1271153501149,False
00155,True,524,312,106.73313637698179,41.17313535319818,246.40949304198975,False
00159,True,558,499,133.03835269104516,31.485526529146586,116.92948950204577,False
00160,True,554,495,130.0667031324071,26.42661893769098,90.60277340121738,False
00161,True,570,496,129.80847481607245,29.430485520619882,12.84686527805352,False
00162,True,663,575,120.02061774542592,39.860822528551616,107.97059665542379,False
00163,True,590,513,128.20505831433576,45.42487979965275,108.13497184912104,False
00164,True,640,1060,111.0704672759434,19.427950708657388,26.42780058576149,True
00165,True,640,1059,122.77055152266288,26.24684474600686,20.663039927641496,False
00166,True,643,1065,110.37194780919837,18.8392649479126,25.303623106400277,True
00174,True,470,492,120.36280920256011,35.044848188169354,161.38860923489335,False
00175,True,461,484,98.72443125795522,25.768919973590773,80.29763824555053,False
