bin_id,asin,name,quantity,weight,length,width,height,volume
00015,B0033UNIQC,Fiskars 8 Inch Premier Softgrip Titanium Straight Scissors (01-004244J),14,0.20000000000000004,10.49999998929,3.99999999592,0.6999999992859999,29.399999910035994
00015,B00E9J3MLM,"Kitchen Safe: Time Locking Container (White Lid + Clear Base) - 5.5"" Height",1,2.3500000000000005,8.799999991024002,7.699999992146,7.299999992554,494.6479984863772
00016,B0033UNIQC,Fiskars 8 Inch Premier Softgrip Titanium Straight Scissors (01-004244J),11,0.20000000000000004,10.49999998929,3.99999999592,0.6999999992859999,29.399999910035994
00016,B00E9J3MLM,"Kitchen Safe: Time Locking Container (White Lid + Clear Base) - 5.5"" Height",1,2.3500000000000005,8.799999991024002,7.699999992146,7.299999992554,494.6479984863772
00017,B0033UNIQC,Fiskars 8 Inch Premier Softgrip Titanium Straight Scissors (01-004244J),9,0.20000000000000004,10.49999998929,3.99999999592,0.6999999992859999,29.399999910035994
00017,B00E9J3MLM,"Kitchen Safe: Time Locking Container (White Lid + Clear Base) - 5.5"" Height",1,2.3500000000000005,8.799999991024002,7.699999992146,7.299999992554,494.6479984863772
00037,B00F908YU4,"12Watt 4-inch High CRI Wet Location Dimmable Retrofit LED Recessed Lighting Fixture, Energy Star UL-classified 75W Equivalent Ceiling Light, 2700K Soft White 650lm Remodel Recessed Downlight",1,0.6999999999999998,5.799999994084,5.699999994186001,3.99999999592,132.2399995953456
00037,B00FMHPX62,DEWALT DWA4214 Oscillating Multi-Material Blade,1,0.15,6.099999993778,4.599999995308,0.599999999388,16.835999948481838
00037,B016CMFESW,"2""/5cm Assorted Colors D Shape Spring-loaded Gate Aluminum Carabiner for Home, Rv, Camping, Fishing, Hiking, Traveling and Keychain",1,0.39999999966456384,5.299999994594,3.99999999592,0.99999999898,21.199999935127998
00038,B00F908YU4,"12Watt 4-inch High CRI Wet Location Dimmable Retrofit LED Recessed Lighting Fixture, Energy Star UL-classified 75W Equivalent Ceiling Light, 2700K Soft White 650lm Remodel Recessed Downlight",1,0.6999999999999998,5.799999994084,5.699999994186001,3.99999999592,132.2399995953456
00038,B00FMHPX62,DEWALT DWA4214 Oscillating Multi-Material Blade,1,0.15,6.099999993778,4.599999995308,0.599999999388,16.835999948481838
00049,B00KGVCJX4,"Victor M162S Clean Kill Mouse Trap, 2-Pack",2,0.20000000000000004,8.99999999082,5.199999994696,1.699999998266,79.5599997565464
00050,0590450875,I Spy: A Book of Picture Riddles,1,1.1,12.0472440822,9.055118101,0.3149606296,34.358808769960106
00050,0836217357,The Days are Just Packed: A Calvin and Hobbes Collection,1,1.35,11.899999987862,8.99999999082,0.599999999388,64.2599998033644
00050,B0052AIJT2,"Spring Valley - Fenugreek 610 mg, 100 Capsules",1,0.24999999979035234,3.899999996022,2.399999997552,2.399999997552,22.46399993126016
00050,B01AWAGTU2,Kingway 2 PCS Patent Laser Toner Cartridge HP 83X CF283X Canon 137 Replacement for HP LaserJet Pro M201dw M255dn Canon imageCLASS MF229dw MF216n Printers,1,1.7499999985324661,13.099999986638,4.599999995308,4.099999995817999,247.065999243978
00079,B0073E3Q7A,"Lodge Manufacturing SCRAPERGPK Grill Pan Scraper, 2-Pack",7,0.02,7.99999999184,4.699999995206,0.49999999949,18.799999942472002
00079,B00PAXDQVM,Revitalash Advanced Eyelash Conditioner 2.0 mL 0.068 oz,1,0.022046001186074866,6.99999999286,1.3999999985719997,1.199999998776,11.759999964014398
00080,B0073E3Q7A,"Lodge Manufacturing SCRAPERGPK Grill Pan Scraper, 2-Pack",7,0.02,7.99999999184,4.699999995206,0.49999999949,18.799999942472002
00080,B00ATZJ5YS,"Belkin 3-Outlet SurgePlus Mini Travel Swivel Charger Surge Protector with Dual USB Ports (2.1 AMP / 10 Watt), BST300",1,0.19999795820485744,7.4999999847,4.9999999949,1.8999999961239997,71.24999963662499
00080,B00N6U92AA,"Colgate Total Lasting White Mouthwash, 16.9 Fluid Ounce (Pack of 6)",1,8.15,9.49999999031,8.199999991636,6.399999993472,498.55999847440637
00080,B00PAXDQVM,Revitalash Advanced Eyelash Conditioner 2.0 mL 0.068 oz,1,0.022046001186074866,6.99999999286,1.3999999985719997,1.199999998776,11.759999964014398
00081,B0073E3Q7A,"Lodge Manufacturing SCRAPERGPK Grill Pan Scraper, 2-Pack",7,0.02,7.99999999184,4.699999995206,0.49999999949,18.799999942472002
00081,B00ATZJ5YS,"Belkin 3-Outlet SurgePlus Mini Travel Swivel Charger Surge Protector with Dual USB Ports (2.1 AMP / 10 Watt), BST300",1,0.19999795820485744,7.4999999847,4.9999999949,1.8999999961239997,71.24999963662499
00081,B00PAXDQVM,Revitalash Advanced Eyelash Conditioner 2.0 mL 0.068 oz,1,0.022046001186074866,6.99999999286,1.3999999985719997,1.199999998776,11.759999964014398
00084,B00SV2OP9Q,3-Blade Vegetable Spiralizer - Includes FREE Spiralizer Recipes Booklet NOT eBook - Precision Kitchenware,1,2.7999999976519456,12.399999987352,9.199999990616,6.299999993574,718.7039978007657
00085,B0030ZEGDY,"Banana Boat Sport Performance Lotion Sunscreens with PowerStay Technology SPF 30, 8 Ounces",2,0.3968280213493476,7.4015747956,1.968503935,1.3385826758,19.50318855299668
00085,B00SV2OP9Q,3-Blade Vegetable Spiralizer - Includes FREE Spiralizer Recipes Booklet NOT eBook - Precision Kitchenware,1,2.7999999976519456,12.399999987352,9.199999990616,6.299999993574,718.7039978007657
00086,B00SV2OP9Q,3-Blade Vegetable Spiralizer - Includes FREE Spiralizer Recipes Booklet NOT eBook - Precision Kitchenware,1,2.7999999976519456,12.399999987352,9.199999990616,6.299999993574,718.7039978007657
00093,B001MKR4Y2,"Johnson Rose Wooden Spoon, 18 Inch Long - 1 Each",1,0.09999999991614096,17.399999982252,1.599999998368,0.49999999949,13.919999957404803
00093,B00BZBQ0ZW,Giant Puzz 3D - Empire State Building,1,1.5,12.099999987657998,9.9999999898,6.099999993778,738.0999977414137
00093,B01ESRWRUG,PASTRY BAG - 100 PIECES - Disposable Cake / Cupcake Decorating Piping Icing Bags Set - Large 16 Inch High Quality and Easy to Grip - For Baking Supplies - by Auntie Sue Bakeware,5,0.09999999991614096,16.99999998266,10.49999998929,0.49999999949,89.24999972689501
00094,B001MKR4Y2,"Johnson Rose Wooden Spoon, 18 Inch Long - 1 Each",1,0.09999999991614096,17.399999982252,1.599999998368,0.49999999949,13.919999957404803
00094,B01ESRWRUG,PASTRY BAG - 100 PIECES - Disposable Cake / Cupcake Decorating Piping Icing Bags Set - Large 16 Inch High Quality and Easy to Grip - For Baking Supplies - by Auntie Sue Bakeware,5,0.09999999991614096,16.99999998266,10.49999998929,0.49999999949,89.24999972689501
