bin_id,asin_count,expected_quantity,quantity_sum,bucket,split,gold_detection,gold_identity,asin_list
00015,2,15,15,multi,extend,False,False,B0033UNIQC|B00E9J3MLM
00016,2,12,12,multi,extend,False,False,B0033UNIQC|B00E9J3MLM
00017,2,10,10,multi,extend,False,False,B0033UNIQC|B00E9J3MLM
00037,3,3,3,multi,extend,False,False,B00F908YU4|B00FMHPX62|B016CMFESW
00038,2,2,2,multi,extend,False,False,B00F908YU4|B00FMHPX62
00049,1,2,2,single,seed,False,False,B00KGVCJX4
00050,4,4,4,hard,extend,False,False,0590450875|0836217357|B0052AIJT2|B01AWAGTU2
00079,2,8,8,multi,extend,False,False,B0073E3Q7A|B00PAXDQVM
00080,4,10,10,hard,extend,False,False,B0073E3Q7A|B00ATZJ5YS|B00N6U92AA|B00PAXDQVM
00081,3,9,9,multi,extend,False,False,B0073E3Q7A|B00ATZJ5YS|B00PAXDQVM
00084,1,1,1,single,seed,False,False,B00SV2OP9Q
00085,2,3,3,multi,extend,False,False,B0030ZEGDY|B00SV2OP9Q
00086,1,1,1,single,seed,False,False,B00SV2OP9Q
00093,3,7,7,multi,extend,False,False,B001MKR4Y2|B00BZBQ0ZW|B01ESRWRUG
00094,2,6,6,multi,extend,False,False,B001MKR4Y2|B01ESRWRUG
00095,2,5,5,multi,extend,False,False,B001MKR4Y2|B01ESRWRUG
00098,3,3,3,multi,extend,False,False,B00597CQHE|B00A7TIW5O|B01FVPOWD4
00099,4,4,4,hard,extend,False,False,B004U5615E|B00597CQHE|B00A7TIW5O|B01FVPOWD4
00103,4,6,6,hard,extend,False,False,B000K048US|B00FFJ5WAO|B00IN4S28M|B015FQ8456
00104,3,4,4,multi,extend,False,False,B00FFJ5WAO|B00IN4S28M|B015FQ8456
00115,1,2,2,single,seed,False,False,B000W43GZA
00117,2,5,5,multi,extend,False,False,B004Q0PN0W|B01E670AOS
00118,2,4,4,multi,extend,False,False,B004Q0PN0W|B01E670AOS
00119,3,6,6,multi,extend,False,False,B004Q0PN0W|B00NJ008MI|B01E670AOS
00127,3,3,3,multi,extend,False,False,B00LL56RNC|B015QZMWR2|B01A0BBF8O
00128,4,4,4,hard,extend,False,False,B00LL56RNC|B015QZMWR2|B01A0BBF8O|B01F3ZNI2S
00154,2,2,2,multi,extend,False,False,B007XE5LTG|B0183J2U20
00155,3,5,5,multi,extend,False,False,B007XE5LTG|B0183J2U20|B01E7REHWS
00159,3,3,3,multi,extend,False,False,B00CDJJZV6|B01BSGKJZK|B01C6MG0CQ
00160,2,2,2,multi,eval,True,True,B01BSGKJZK|B01C6MG0CQ
00161,3,6,6,multi,extend,False,False,B002SB8LLE|B011XM4GJO|B013OVOO6M
00162,4,7,7,hard,extend,False,False,B000CHKIVW|B002SB8LLE|B011XM4GJO|B013OVOO6M
00163,3,6,6,multi,extend,False,False,B000CHKIVW|B002SB8LLE|B011XM4GJO
00164,2,3,3,multi,extend,False,False,0756628652|B01D2OY3ZI
00165,3,4,4,multi,extend,False,False,0756628652|B00HM2KVPS|B01D2OY3ZI
00166,2,3,3,multi,extend,False,False,0756628652|B01D2OY3ZI
00174,4,6,6,hard,extend,False,False,B000936QEM|B0014R91V2|B0016AZGM0|B002BUKCNW
00175,3,5,5,multi,extend,False,False,B000936QEM|B0014R91V2|B0016AZGM0
00176,2,4,4,multi,extend,False,False,B0014R91V2|B0016AZGM0
00249,2,2,2,multi,extend,False,False,B008BH4IZM|B00INV51ZM
00250,3,3,3,multi,extend,False,False,B008BH4IZM|B00ECV5MR4|B00IHMVJ1M
00278,2,7,7,multi,extend,False,False,B000J07BRQ|B0017J67I2
00281,3,7,7,multi,extend,False,False,B006MQLEGK|B00HD4HPEA|B00TID8JOE
00282,3,6,6,multi,extend,False,False,B006MQLEGK|B00HD4HPEA|B00TID8JOE
00283,3,5,5,multi,extend,False,False,B006MQLEGK|B00HD4HPEA|B00TID8JOE
00289,1,1,1,single,seed,False,False,B00R1DE0XC
00290,2,4,4,multi,extend,False,False,B0044W8MKU|B00R1DE0XC
00301,2,2,2,multi,extend,False,False,B000IXC7IW|B010TS35ZY
00302,3,3,3,multi,extend,False,False,B000IXC7IW|B00LH1X66G|B010TS35ZY
00303,3,7,7,multi,extend,False,False,B000KI8HKC|B002GALZCY|B002JI3L84
00304,3,6,6,multi,extend,False,False,B000KI8HKC|B002GALZCY|B002JI3L84
00305,4,8,8,hard,extend,False,False,B000KI8HKC|B001CUBR9U|B002GALZCY|B002JI3L84
00314,2,3,3,multi,extend,False,False,143368912X|B00WL13K44
00315,3,6,6,multi,extend,False,False,1119209595|143368912X|B00WL13K44
00335,3,11,11,multi,extend,False,False,B0014VX2M2|B00JH8M2D4|B00QGXZGIG
00340,3,4,4,multi,extend,False,False,B005IZ53CW|B0084JMCF0|B00IP27DFA
00341,3,3,3,multi,extend,False,False,B005IZ53CW|B0084JMCF0|B00IP27DFA
00342,2,2,2,multi,extend,False,False,B005IZ53CW|B01746BWTK
00351,2,2,2,multi,extend,False,False,B00EI6EZDK|B01EXM8GGU
00352,1,1,1,single,seed,False,False,B01EXM8GGU
00353,2,14,14,multi,extend,False,False,B000NPPAUW|B01EXM8GGU
00365,2,3,3,multi,extend,False,False,B00D7K1KAY|B01DKHJV1I
00366,3,4,4,multi,extend,False,False,B00D7K1KAY|B013HZPX3I|B01DKHJV1I
00367,2,2,2,multi,extend,False,False,B00D7K1KAY|B013HZPX3I
00388,3,4,4,multi,extend,False,False,B00RTC23FM|B01ARGBRGW|B01B59Q8U0
00389,3,3,3,multi,extend,False,False,B0028LGNSM|B00RTC23FM|B01ARGBRGW
00390,4,5,5,hard,extend,False,False,B001R1Q2C6|B0028LGNSM|B00RTC23FM|B01ARGBRGW
00397,1,1,1,single,seed,False,False,B00VRAMCF8
00398,3,5,5,multi,extend,False,False,B000GYLCHK|B00QV77XU6|B00VRAMCF8
00405,2,3,3,multi,extend,False,False,B000F8V2GI|B00YAZF84Y
00415,3,10,10,multi,extend,False,False,B00004OCLC|B013L5VMPM|B019EQOTCU
00416,3,6,6,multi,extend,False,False,B00004OCLC|B013L5VMPM|B019EQOTCU
00417,2,4,4,multi,extend,False,False,B013L5VMPM|B019EQOTCU
00421,4,6,6,hard,extend,False,False,B004C89BZQ|B006MGWMHA|B00I7JKAQ0|B01COPZ6KC
00422,3,5,5,multi,extend,False,False,B004C89BZQ|B006MGWMHA|B01COPZ6KC
00434,4,4,4,hard,extend,False,False,B003R68WF4|B00NNCZIUO|B00OCEKCB2|B01AHXEHYY
00439,3,5,5,multi,extend,False,False,B001L1RFPU|B00772BNB4|B00RRV14BE
00440,4,6,6,hard,extend,False,False,B001L1RFPU|B00772BNB4|B00CZ7AKDI|B00RRV14BE
00441,3,5,5,multi,extend,False,False,B001L1RFPU|B00772BNB4|B00RRV14BE
00457,2,3,3,multi,extend,False,False,B000068O8H|B01AWENDJS
00473,2,2,2,multi,extend,False,False,B001SAQ546|B004NIBQQC
00474,3,5,5,multi,extend,False,False,B001SAQ546|B004NIBQQC|B014O6IXXQ
00517,2,2,2,multi,extend,False,False,B007ECQ04W|B011YZ8NBM
00546,4,6,6,hard,extend,False,False,B002EVCOCA|B00JR0MXLI|B01C3LEE9G|B01CJLTSN2
00547,4,4,4,hard,extend,False,False,B002EVCOCA|B00JR0MXLI|B01C3LEE9G|B01CJLTSN2
00548,2,2,2,multi,extend,False,False,B005NGGF7I|B00OW2PNEU
00549,4,10,10,hard,extend,False,False,B000O7F2DO|B0014WB5AW|B005NGGF7I|B00OW2PNEU
00550,4,9,9,hard,extend,False,False,B000O7F2DO|B0014WB5AW|B005NGGF7I|B00OW2PNEU
00558,2,2,2,multi,extend,False,False,B01DZYL07E|B01EHE8B5A
00559,3,3,3,multi,extend,False,False,B018E5OCBA|B01DZYL07E|B01EHE8B5A
00560,4,4,4,hard,extend,False,False,B00OLSBJOS|B018E5OCBA|B01DZYL07E|B01EHE8B5A
00567,2,2,2,multi,extend,False,False,B00MKBS1GW|B013HSW4N2
00568,3,4,4,multi,extend,False,False,B013HSW4N2|B0192XSVYM|B01GV0MVYU
00610,2,2,2,multi,extend,False,False,B0042T62UM|B00WH1RG70
00619,3,3,3,multi,extend,False,False,B0045NRFVK|B004DPOP7M|B00XR02FXA
